t,x,y,z,vx,vy,vz
0.0000,24.0000,2.0000,4.0000,0.0000,0.0000,0.0000
0.1000,24.0008,2.0006,4.0023,0.0170,0.0127,0.0453
0.2000,24.0034,2.0025,4.0091,0.0340,0.0254,0.0906
0.3000,24.0076,2.0057,4.0204,0.0509,0.0381,0.1358
0.4000,24.0136,2.0102,4.0362,0.0679,0.0508,0.1811
0.5000,24.0212,2.0159,4.0566,0.0849,0.0635,0.2264
0.6000,24.0306,2.0229,4.0815,0.1019,0.0762,0.2717
0.7000,24.0416,2.0311,4.1109,0.1188,0.0889,0.3170
0.8000,24.0543,2.0406,4.1449,0.1358,0.1016,0.3623
0.9000,24.0688,2.0514,4.1834,0.1528,0.1143,0.4075
1.0000,24.0849,2.0635,4.2264,0.1698,0.1270,0.4528
1.1000,24.1027,2.0768,4.2740,0.1867,0.1397,0.4981
1.2000,24.1222,2.0914,4.3260,0.2037,0.1524,0.5434
1.3000,24.1434,2.1073,4.3826,0.2207,0.1651,0.5887
1.4000,24.1664,2.1244,4.4438,0.2377,0.1778,0.6340
1.5000,24.1910,2.1429,4.5094,0.2546,0.1905,0.6792
1.6000,24.2173,2.1625,4.5796,0.2716,0.2032,0.7245
1.7000,24.2453,2.1835,4.6543,0.2886,0.2159,0.7698
1.8000,24.2750,2.2057,4.7336,0.3056,0.2286,0.8151
1.9000,24.3064,2.2292,4.8174,0.3225,0.2413,0.8604
2.0000,24.3395,2.2540,4.9057,0.3395,0.2540,0.9057
2.1000,24.3743,2.2800,4.9985,0.3565,0.2667,0.9509
2.2000,24.4108,2.3073,5.0959,0.3734,0.2794,0.9962
2.3000,24.4482,2.3353,5.1957,0.3749,0.2804,1.0000
2.4000,24.4857,2.3633,5.2957,0.3749,0.2804,1.0000
2.5000,24.5232,2.3914,5.3957,0.3749,0.2804,1.0000
2.6000,24.5607,2.4194,5.4957,0.3749,0.2804,1.0000
2.7000,24.5982,2.4475,5.5957,0.3749,0.2804,1.0000
2.8000,24.6357,2.4755,5.6957,0.3749,0.2804,1.0000
2.9000,24.6732,2.5035,5.7957,0.3749,0.2804,1.0000
3.0000,24.7106,2.5316,5.8957,0.3749,0.2804,1.0000
3.1000,24.7481,2.5596,5.9957,0.3749,0.2804,1.0000
3.2000,24.7856,2.5877,6.0957,0.3749,0.2804,1.0000
3.3000,24.8231,2.6157,6.1957,0.3749,0.2804,1.0000
3.4000,24.8606,2.6437,6.2957,0.3749,0.2804,1.0000
3.5000,24.8981,2.6718,6.3957,0.3749,0.2804,1.0000
3.6000,24.9356,2.6998,6.4957,0.3749,0.2804,1.0000
3.7000,24.9731,2.7279,6.5957,0.3749,0.2804,1.0000
3.8000,25.0106,2.7559,6.6957,0.3749,0.2804,1.0000
3.9000,25.0480,2.7840,6.7957,0.3749,0.2804,1.0000
4.0000,25.0855,2.8120,6.8957,0.3749,0.2804,1.0000
4.1000,25.1230,2.8400,6.9957,0.3749,0.2804,1.0000
4.2000,25.1605,2.8681,7.0957,0.3749,0.2804,1.0000
4.3000,25.1980,2.8961,7.1957,0.3749,0.2804,1.0000
4.4000,25.2355,2.9242,7.2957,0.3749,0.2804,1.0000
4.5000,25.2730,2.9522,7.3957,0.3749,0.2804,1.0000
4.6000,25.3105,2.9802,7.4957,0.3749,0.2804,1.0000
4.7000,25.3480,3.0083,7.5957,0.3749,0.2804,1.0000
4.8000,25.3854,3.0363,7.6957,0.3749,0.2804,1.0000
4.9000,25.4229,3.0644,7.7957,0.3749,0.2804,1.0000
5.0000,25.4604,3.0924,7.8957,0.3749,0.2804,1.0000
5.1000,25.4979,3.1205,7.9957,0.3749,0.2804,1.0000
5.2000,25.5354,3.1485,8.0957,0.3749,0.2804,1.0000
5.3000,25.5729,3.1765,8.1957,0.3749,0.2804,1.0000
5.4000,25.6104,3.2046,8.2957,0.3749,0.2804,1.0000
5.5000,25.6479,3.2326,8.3957,0.3749,0.2804,1.0000
5.6000,25.6853,3.2607,8.4957,0.3749,0.2804,1.0000
5.7000,25.7228,3.2887,8.5957,0.3749,0.2804,1.0000
5.8000,25.7603,3.3168,8.6957,0.3749,0.2804,1.0000
5.9000,25.7978,3.3448,8.7957,0.3749,0.2804,1.0000
6.0000,25.8353,3.3728,8.8957,0.3749,0.2804,1.0000
6.1000,25.8728,3.4009,8.9957,0.3749,0.2804,1.0000
6.2000,25.9103,3.4289,9.0957,0.3749,0.2804,1.0000
6.3000,25.9478,3.4570,9.1957,0.3749,0.2804,1.0000
6.4000,25.9853,3.4850,9.2957,0.3749,0.2804,1.0000
